bahasa_jawa_binned,bahasa_indonesia_binned,ipa_binned,ips_binned
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Sangat Tinggi,Tinggi,Sangat Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Rendah,Tinggi,Sedang,Rendah
Tinggi,Tinggi,Tinggi,Tinggi
Sedang,Tinggi,Rendah,Rendah
Sedang,Sedang,Sedang,Sedang
Sedang,Tinggi,Tinggi,Sedang
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Sangat Tinggi,Tinggi,Sedang
Rendah,Sangat Tinggi,Sedang,Sedang
Sedang,Tinggi,Sedang,Sedang
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Tinggi,Sedang,Sangat Rendah
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sedang,Tinggi,Sedang,Sedang
Tinggi,Tinggi,Tinggi,Sedang
Sedang,Sangat Tinggi,Tinggi,Rendah
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Sedang,Sedang,Sedang
Tinggi,Sangat Tinggi,Tinggi,Sedang
Sedang,Tinggi,Tinggi,Rendah
Tinggi,Tinggi,Sedang,Sedang
Sedang,Tinggi,Sedang,Rendah
Sedang,Sangat Tinggi,Tinggi,Tinggi
Tinggi,Tinggi,Tinggi,Sedang
Sedang,Sangat Tinggi,Sedang,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Tinggi,Sangat Rendah,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Rendah,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Sedang
Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Tinggi,Sangat Tinggi,Sangat Tinggi
Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sedang,Sedang,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sedang,Tinggi,Sangat Tinggi,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Rendah,Sedang,Sedang,Sangat Rendah
Rendah,Sedang,Sedang,Rendah
Sedang,Sangat Tinggi,Tinggi,Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sedang,Tinggi,Sedang,Sedang
Rendah,Sedang,Rendah,Sangat Rendah
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Tinggi,Sedang,Tinggi
Sedang,Sangat Tinggi,Rendah,Tinggi
Sedang,Tinggi,Sedang,Rendah
Sedang,Tinggi,Tinggi,Tinggi
Sedang,Sangat Tinggi,Sedang,Tinggi
Sedang,Tinggi,Sedang,Sedang
Rendah,Tinggi,Tinggi,Sedang
Rendah,Tinggi,Tinggi,Rendah
Sangat Rendah,Sedang,Rendah,Sangat Rendah
Sedang,Tinggi,Sedang,Sangat Rendah
Rendah,Tinggi,Sedang,Sangat Rendah
Rendah,Tinggi,Sedang,Sedang
Sedang,Tinggi,Sedang,Tinggi
Tinggi,Tinggi,Sedang,Rendah
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Tinggi
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Sangat Tinggi,Tinggi,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Rendah,Tinggi,Sedang
Sedang,Tinggi,Sedang,Sedang
Tinggi,Tinggi,Sangat Tinggi,Sedang
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Tinggi,Tinggi,Sedang,Sedang
Tinggi,Tinggi,Sedang,Sedang
Tinggi,Tinggi,Sedang,Sedang
Sangat Tinggi,Tinggi,Tinggi,Sedang
Tinggi,Sangat Tinggi,Tinggi,Sedang
Sedang,Sangat Tinggi,Sangat Tinggi,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sedang
Sedang,Sangat Tinggi,Tinggi,Tinggi
Tinggi,Sangat Tinggi,Tinggi,Sedang
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Sedang
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sedang
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sedang
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Sangat Tinggi,Tinggi,Sedang
Sedang,Tinggi,Sedang,Sedang
Sedang,Tinggi,Sedang,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Rendah
Sedang,Sangat Tinggi,Tinggi,Sedang
Tinggi,Tinggi,Tinggi,Rendah
Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sedang,Tinggi,Tinggi,Rendah
Sedang,Tinggi,Tinggi,Sedang
Sedang,Tinggi,Sangat Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Rendah
Tinggi,Sangat Tinggi,Tinggi,Sedang
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sedang,Sangat Tinggi,Tinggi,Sedang
Sedang,Tinggi,Sangat Tinggi,Tinggi
Sedang,Tinggi,Sangat Tinggi,Sedang
Tinggi,Sedang,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Tinggi,Tinggi,Rendah
Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Rendah
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Tinggi,Tinggi,Tinggi
Tinggi,Tinggi,Tinggi,Rendah
Sedang,Tinggi,Tinggi,Sedang
Tinggi,Sangat Tinggi,Tinggi,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Tinggi,Sangat Tinggi,Sedang
Tinggi,Tinggi,Sangat Tinggi,Tinggi
Tinggi,Tinggi,Tinggi,Sedang
Sedang,Tinggi,Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Tinggi
Tinggi,Tinggi,Tinggi,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sedang,Tinggi,Tinggi,Rendah
Tinggi,Tinggi,Sangat Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Rendah
Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Tinggi,Tinggi,Tinggi,Tinggi
Sedang,Sedang,Tinggi,Sangat Rendah
Sedang,Tinggi,Tinggi,Sedang
Tinggi,Tinggi,Sangat Tinggi,Tinggi
Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sedang,Tinggi,Tinggi,Sedang
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sedang,Tinggi,Sedang,Sedang
Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Sedang,Sangat Tinggi
Sangat Tinggi,Tinggi,Rendah,Rendah
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sedang,Tinggi
Sangat Tinggi,Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Tinggi,Sangat Tinggi,Sedang,Rendah
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Tinggi,Tinggi,Sedang,Tinggi
Tinggi,Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Sedang,Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sangat Tinggi,Tinggi,Sedang,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
